title,release_year,revenue,genres
Peter Rabbit,2018.0,351266433,"['Animation', 'Adventure', 'Family']"
Mary Poppins Returns,2018.0,348807090,"['Fantasy', 'Family', 'Comedy']"
xXx: Return of Xander Cage,2017.0,346147658,"['Action', 'Adventure', 'Crime']"
A Quiet Place,2018.0,341000000,"['Horror', 'Drama', 'Science Fiction']"
Never Say Die,2017.0,334530869,"['Comedy', 'Fantasy']"
John Wick: Chapter 3 - Parabellum,2019.0,326709727,"['Action', 'Thriller', 'Crime']"
Green Book,2018.0,319700000,"['Drama', 'Comedy']"
Knives Out,2019.0,312897920,"['Comedy', 'Crime', 'Mystery']"
The Lego Batman Movie,2017.0,311950384,"['Animation', 'Action', 'Comedy', 'Family']"
Annabelle: Creation,2017.0,306515884,"['Horror', 'Mystery', 'Thriller']"
Wonder,2017.0,305937718,"['Drama', 'Family']"
Ocean's Eight,2018.0,297718711,"['Crime', 'Comedy', 'Action']"
Ferdinand,2017.0,295038508,"['Animation', 'Family', 'Adventure', 'Comedy']"
Skyscraper,2018.0,292351275,"['Action', 'Thriller']"
Pacific Rim: Uprising,2018.0,290061297,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']"
Maze Runner: The Death Cure,2018.0,288175335,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Split,2017.0,278454358,"['Horror', 'Thriller']"
Bāhubali 2: The Conclusion,2017.0,275947313,"['Action', 'Adventure', 'Fantasy']"
Tomb Raider,2018.0,274650803,"['Action', 'Adventure', 'Fantasy']"
Terminator: Dark Fate,2019.0,261119292,"['Science Fiction', 'Action']"
Halloween,2018.0,259900000,"['Horror', 'Thriller']"
Blade Runner 2049,2017.0,259239658,"['Science Fiction', 'Drama']"
Parasite,2019.0,257591776,"['Comedy', 'Thriller', 'Drama']"
Us,2019.0,256067149,"['Horror', 'Thriller', 'Mystery']"
Get Out,2017.0,255407969,"['Mystery', 'Thriller', 'Horror']"
